mishima_dir,mishima_speed,aziro_dir,aziro_speed,tannna_dir,tanna_speed,judge
90,20,203,10,34,24,SWest
90,30,225,10,46,36,SWest
90,30,225,20,48,30,SWest
90,30,203,10,60,22,SWest
90,20,203,10,76,26,SWest
68,20,203,10,80,24,SWest
90,20,225,10,74,26,NotWest
90,20,248,10,74,26,NotWest
90,10,113,10,88,30,NotWest
90,20,248,10,84,26,NotWest
113,20,270,10,90,38,NotWest
113,10,248,10,88,38,NotWest
135,10,360,10,82,28,NotWest
135,10,23,20,90,38,NotWest
90,10,23,20,76,22,NotWest
113,20,248,10,86,32,NotWest
113,10,23,20,74,28,NotWest
113,10,45,10,72,30,NotWest
113,10,23,20,82,30,NotWest
68,10,68,20,84,32,NotWest
113,10,68,20,92,40,NotWest
248,10,45,20,90,42,NotWest
270,10,45,20,88,38,NotWest
90,10,45,20,84,38,NotWest
23,10,45,20,82,34,NotWest
248,10,68,20,78,36,NotWest
293,20,68,10,68,34,NotWest
293,20,23,20,84,28,NotWest
338,20,45,20,72,26,NotWest
338,10,45,20,68,32,NotWest
315,10,45,20,86,32,NotWest
293,20,45,20,88,42,NotWest
293,20,23,10,76,36,NotWest
293,20,90,20,68,28,NotWest
293,20,68,10,48,58,NotWest
293,20,45,20,56,44,NotWest
270,20,23,20,66,30,NotWest
293,20,68,20,62,30,NotWest
315,20,68,10,50,42,NotWest
293,20,68,10,68,32,NotWest
293,20,23,10,58,36,NotWest
293,10,90,10,72,28,NotWest
270,10,68,10,74,30,NotWest
293,10,90,10,86,24,NotWest
270,10,68,10,76,30,NotWest
270,10,68,10,62,30,NotWest
293,10,90,10,70,24,NotWest
315,10,90,10,76,34,NotWest
293,10,135,10,68,32,NotWest
270,10,113,10,58,30,NotWest
248,10,158,10,68,28,NotWest
225,10,135,10,86,28,NotWest
225,10,0,0,86,36,West
203,10,270,10,92,40,West
158,10,180,10,78,26,West
158,20,0,0,82,32,West
158,20,203,10,76,28,NotWest
158,20,180,10,76,24,NotWest
135,20,203,10,66,22,NotWest
113,10,203,10,70,26,NotWest
113,10,203,10,74,24,NotWest
90,10,203,10,54,20,NotWest
135,10,203,10,70,22,NotWest
90,10,203,10,62,16,NotWest
68,10,203,20,80,16,NotWest
90,10,203,20,60,10,NotWest
90,10,203,20,78,10,NotWest
90,10,203,10,60,6,NotWest
90,10,203,20,60,4,NotWest
0,0,203,20,16,0,NotWest
68,10,203,20,182,0,NotWest
90,10,203,20,180,0,NotWest
90,10,203,10,182,4,NotWest
0,0,203,10,178,6,NotWest
90,10,203,10,58,16,NotWest
90,20,203,10,46,12,NotWest
68,20,203,10,64,16,NotWest
68,20,203,10,62,18,NotWest
90,20,225,10,76,12,NotWest
90,20,203,10,62,18,NotWest
90,30,225,10,56,14,NotWest
90,20,203,10,68,22,NotWest
90,10,203,10,66,18,NotWest
90,10,225,10,50,18,NotWest
90,20,360,10,72,14,NotWest
68,10,203,10,60,20,NotWest
68,20,90,10,78,20,NotWest
90,20,158,10,76,20,NotWest
90,10,248,10,66,20,NotWest
68,10,23,10,62,16,NotWest
68,20,45,10,62,20,NotWest
68,20,23,10,84,24,NotWest
90,20,315,20,72,26,NotWest
68,20,23,40,78,28,NotWest
90,30,23,40,70,26,NotWest
90,20,360,40,72,28,NotWest
90,30,23,40,72,26,NotWest
90,30,23,40,82,24,NotWest
90,20,23,40,74,28,NotWest
90,30,23,40,84,24,NotWest
90,30,23,50,80,26,NotWest
90,20,360,30,70,28,NotWest
68,10,360,20,82,32,NotWest
68,20,360,30,76,26,NotWest
68,20,23,30,84,24,NotWest
90,40,360,20,94,22,NotWest
90,30,360,20,84,26,NotWest
90,30,23,30,80,22,NotWest
90,30,360,30,74,20,NotWest
90,30,23,30,70,32,NotWest
90,40,23,30,66,30,NotWest
90,30,23,40,70,28,NotWest
90,30,23,40,68,36,NotWest
90,30,23,50,70,30,NotWest
90,30,23,40,64,32,NotWest
90,30,23,40,60,18,NotWest
90,30,23,50,78,28,NotWest
90,30,23,50,72,24,West
90,20,23,50,70,32,West
68,10,23,50,76,34,NotWest
90,20,23,40,70,28,NotWest
90,20,23,50,66,34,NotWest
90,30,23,50,82,30,NotWest
90,20,23,40,66,26,NotWest
90,20,23,50,74,20,West
90,30,23,50,66,18,NotWest
90,30,23,40,74,28,NotWest
90,30,23,40,78,20,NotWest
90,30,23,40,24,14,NotWest
90,30,23,30,44,10,NotWest
90,30,23,30,16,4,NotWest
90,30,23,30,102,2,NotWest
113,30,23,30,104,8,NotWest
90,20,360,30,76,4,NotWest
90,20,360,30,62,10,NotWest
90,10,23,30,198,2,NotWest
135,10,23,30,198,6,NotWest
158,10,23,30,52,4,NotWest
90,10,23,20,0,2,NotWest
90,20,23,20,0,8,NotWest
113,20,360,20,128,6,NotWest
90,10,23,30,74,6,NotWest
90,10,23,20,192,6,NotWest
68,20,23,30,94,4,NotWest
90,20,23,30,24,10,NotWest
90,20,23,30,28,20,NotWest
90,10,23,40,108,4,NotWest
68,20,23,30,88,24,NotWest
90,20,23,40,88,22,NotWest
90,20,23,40,82,22,NotWest
90,20,23,40,82,26,NotWest
90,20,23,30,82,26,NotWest
90,20,23,40,82,22,NotWest
90,20,23,40,76,24,NotWest
90,10,23,30,66,20,NotWest
0,0,23,20,64,20,NotWest
360,10,23,20,76,24,NotWest
68,10,23,30,60,28,NotWest
45,20,23,30,68,30,NotWest
68,30,23,30,74,26,NotWest
68,20,23,30,76,32,NotWest
90,20,360,30,78,28,NotWest
68,20,23,30,76,26,NotWest
90,20,23,20,84,36,NotWest
90,30,23,20,86,30,NotWest
68,10,23,30,80,30,NotWest
68,20,45,20,86,34,NotWest
45,20,23,30,66,34,NotWest
45,20,23,30,82,30,NotWest
45,20,23,30,76,34,NotWest
68,10,23,30,84,36,NotWest
90,10,23,20,86,32,NotWest
113,10,23,20,76,38,NotWest
135,10,23,20,84,36,NotWest
90,20,23,20,76,34,NotWest
45,10,23,10,62,28,NotWest
315,10,45,30,80,30,NotWest
270,20,23,20,74,28,NotWest
248,40,23,30,68,38,NotWest
248,30,23,30,74,44,NotWest
270,40,45,30,60,40,NotWest
270,30,23,20,78,42,NotWest
248,20,23,30,84,44,NotWest
248,10,23,30,64,40,NotWest
248,20,23,30,60,44,NotWest
248,20,23,20,80,42,NotWest
270,10,45,10,76,32,NotWest
270,10,23,10,64,36,NotWest
203,10,23,40,56,30,NotWest
90,10,23,40,82,36,NotWest
90,20,23,40,84,40,NotWest
68,10,23,40,78,38,NotWest
68,20,23,40,76,36,NotWest
113,10,23,40,80,38,NotWest
68,20,23,30,96,36,NotWest
90,10,23,30,80,28,NotWest
90,10,23,40,76,28,NotWest
0,0,23,40,74,32,NotWest
90,20,23,40,60,34,NotWest
113,10,23,40,62,46,NotWest
113,10,23,40,62,42,NotWest
0,0,23,60,66,48,NotWest
0,0,23,60,66,52,NotWest
0,0,23,50,76,46,NotWest
90,10,23,40,72,42,NotWest
0,0,23,60,60,36,NotWest
113,10,23,60,64,34,NotWest
135,10,23,60,66,34,NotWest
180,10,23,70,80,28,NotWest
135,10,23,60,72,26,NotWest
90,10,23,60,54,30,NotWest
90,10,23,70,60,20,NotWest
90,10,23,60,48,14,NotWest
90,30,23,80,78,24,NotWest
90,20,23,90,58,26,NotWest
90,10,23,90,74,20,NotWest
68,20,23,90,56,12,NotWest
0,0,23,80,82,14,NotWest
0,0,23,90,74,22,NotWest
158,10,23,100,70,18,NotWest
158,10,23,90,80,20,NotWest
203,10,23,100,72,26,NotWest
225,10,23,90,72,26,NotWest
225,10,23,80,68,28,NotWest
225,20,23,80,84,32,NotWest
203,10,23,80,84,28,NotWest
180,10,23,90,56,24,NotWest
203,10,23,80,68,20,NotWest
180,10,23,90,76,24,NotWest
248,10,23,80,66,20,NotWest
225,20,23,80,42,24,NotWest
45,10,23,80,50,24,NotWest
248,10,23,80,78,26,NotWest
225,10,23,60,78,30,NotWest
225,10,23,60,74,36,NotWest
225,20,23,80,84,24,NotWest
158,10,23,90,72,30,NotWest
113,30,23,90,76,30,NotWest
68,20,23,90,80,32,NotWest
23,10,23,80,76,32,NotWest
23,10,23,90,84,32,NotWest
45,10,23,90,70,34,NotWest
68,10,23,100,74,44,NotWest
68,10,23,110,80,40,NotWest
90,10,23,120,64,34,West
0,0,23,120,62,50,NotWest
293,10,23,120,68,38,NotWest
360,10,23,120,72,40,West
338,10,23,130,82,44,NotWest
45,10,23,130,70,38,NotWest
158,10,23,130,78,34,NotWest
293,10,23,130,74,38,NotWest
248,20,23,130,66,40,NotWest
225,20,23,120,76,38,NotWest
225,20,23,110,70,44,NotWest
225,20,23,110,78,44,NotWest
225,10,23,110,72,50,West
0,0,23,100,82,56,NotWest
248,20,23,110,82,36,NotWest
248,40,23,120,54,24,NotWest
248,40,23,130,52,18,NotWest
248,60,23,120,126,14,NotWest
248,50,23,120,164,14,NotWest
248,50,23,130,46,12,NotWest
248,50,23,130,144,22,NotWest
248,60,23,140,194,16,NotWest
293,40,23,140,134,30,NotWest
293,50,23,140,68,34,NotWest
270,40,23,150,150,20,NotWest
270,40,23,130,48,18,NotWest
248,30,23,150,104,26,NotWest
248,20,23,140,40,30,NotWest
180,10,23,150,226,28,NotWest
0,0,23,150,18,22,NotWest
0,0,23,140,168,30,NotWest
0,0,23,140,124,18,NotWest
0,0,23,150,74,24,NotWest
0,0,23,160,56,62,NotWest
90,10,23,140,88,36,NotWest
0,0,23,140,84,36,NotWest
0,0,23,140,126,32,NotWest
248,10,23,130,100,26,NotWest
270,20,23,120,142,18,NotWest
248,20,23,100,76,46,NotWest
248,30,23,120,92,30,NotWest
248,30,23,110,92,34,NotWest
248,30,23,90,62,28,NotWest
248,40,23,120,46,20,NotWest
248,30,23,130,84,42,NotWest
270,40,23,110,152,10,NotWest
248,40,23,80,100,14,NotWest
270,40,23,80,30,18,NotWest
293,40,23,100,232,20,NotWest
293,30,23,110,98,24,NotWest
293,40,23,100,144,22,NotWest
293,40,23,100,144,22,NotWest
270,60,225,10,98,40,NotWest
270,70,248,90,200,84,SWest
270,70,248,90,198,78,SWest
270,70,248,80,190,92,SWest
270,70,248,80,196,92,SWest
270,70,248,70,200,78,SWest
270,80,248,60,204,80,SWest
270,70,248,60,200,98,SWest
270,70,248,70,186,90,SWest
270,70,248,80,190,104,SWest
270,70,248,60,194,92,SWest
270,60,248,60,194,84,SWest
270,60,248,40,212,100,SWest
248,60,248,40,190,82,SWest
248,50,248,40,146,90,SWest
248,50,248,30,142,74,SWest
248,40,225,20,192,92,SWest
270,50,225,30,192,78,SWest
270,40,225,20,216,82,SWest
270,40,225,30,200,112,SWest
270,50,248,30,200,100,SWest
248,40,225,20,214,100,SWest
270,30,248,30,206,102,SWest
270,40,248,60,198,100,SWest
270,40,248,60,210,102,SWest
270,40,248,40,190,72,SWest
248,40,248,30,214,94,SWest
270,40,248,30,176,88,SWest
270,40,248,20,196,110,SWest
248,40,248,80,202,84,SWest
270,30,248,80,202,84,SWest
248,40,270,70,206,56,SWest
270,40,270,70,204,54,SWest
248,40,270,60,224,56,SWest
270,40,270,50,208,66,SWest
270,40,270,70,212,64,SWest
270,40,270,50,210,56,SWest
